HMDB_ID	origin	Formula	Neutral mass	mz	md	inclusion
HMDB31252	Endogenous	C3H5IO2	199.9334228	200.9406994	0.940699424	y
HMDB31292	Endogenous	C4F8	199.9872256	200.9945022	0.99450224	y
HMDB00731	Endogenous	C3H7NO5S2	200.9765637	201.9838403	0.983840319	y
HMDB29643	Endogenous	C7H5Cl3O	209.9405979	210.9478745	0.947874503	y
HMDB32287	Endogenous	C6FeN6	211.9533862	212.9606628	0.960662763	y
HMDB06801	Endogenous	C4H7O8P	213.9878537	214.9951303	0.995130312	y
HMDB11725	Endogenous	C7H6O6S	217.9885086	218.9957852	0.995785214	y
HMDB41797	Endogenous	C8H6Cl2O3	219.9693995	220.9766761	0.976676072	y
HMDB29627	Endogenous	C7H4Cl4O	243.9016256	244.9089022	0.908902178	y
HMDB32079	Endogenous	C6H4Br2O	249.86289	250.8701666	0.870166644	y
HMDB32080	Endogenous	C6H4Br2O	249.86289	250.8701666	0.870166644	y
HMDB03379	Endogenous	O10P3	252.8704308	253.8777074	0.877707356	y
HMDB31980	Endogenous	CH5NO2S6	254.8644525	255.8717291	0.871729149	y
HMDB31224	Endogenous	C4H6N2Na2S4	255.9209203	256.9281969	0.928196912	y
HMDB12282	Endogenous	H5O10P3	257.9095559	258.9168325	0.916832516	y
HMDB05874	Endogenous	C9H10BrNO3	258.9844058	259.9916824	0.991682438	y
HMDB36546	Food	Cl4Sn	259.7776074	260.784884	0.784883999	y
HMDB31489	Endogenous	C3Cl6O	261.8080309	262.8153075	0.815307464	y
HMDB01270	Endogenous	C3H8O10P2	265.9592695	266.9665461	0.9665461	y
HMDB01294	Endogenous	C3H8O10P2	265.9592695	266.9665461	0.9665461	y
HMDB29807	Endogenous	C3H12NO9P3	298.9724905	299.9797671	0.979767123	y
HMDB00021	Endogenous	C9H10INO3	306.9705366	307.9778132	0.977813211	y
HMDB11688	Endogenous	C5H12O11P2	309.9854843	310.9927609	0.99276085	y
HMDB29845	Endogenous	C6H4Na2O8S2	313.9142978	314.9215744	0.921574434	y
HMDB42049	Endogenous	C8H11Cl3O7	323.9570358	324.9643124	0.964312427	y
HMDB29642	Endogenous	C6H3Br3O	327.7734027	328.7806793	0.780679259	y
HMDB04122	Endogenous	C6H12N2O4Se2	335.9127505	336.9200271	0.920027138	y
HMDB40189	Food	C3H3Br2IO	339.7595334	340.76681	0.766810032	y
HMDB31592	Endogenous	C13H8O11S	371.9787318	372.9860084	0.986008388	y
