"","mz","mzmin","mzmax"
"CP123",373.255676269531,373.240203857422,373.267303466797
"CP124",374.260650634766,374.2451171875,374.272308349609
"CP125",381.297027587891,381.281036376953,381.309020996094
"CP126",382.302307128906,382.286254882812,382.314361572266
"CP127",385.184173583984,384.450592041016,385.249114990234
"CP128",387.233856201172,387.221588134766,387.246124267578
"CP129",388.238128662109,388.225830078125,388.250457763672
"CP130",389.250457763672,389.238098144531,389.262847900391
"CP131",395.277709960938,395.265045166016,395.290374755859
"CP132",396.279327392578,396.262390136719,396.292022705078
"CP133",397.183319091797,397.170562744141,397.191802978516
"CP134",397.293823242188,397.281066894531,397.302337646484
"CP135",399.201141357422,399.136932373047,399.265380859375
"CP136",401.217132568359,401.152435302734,401.277557373047
"CP137",403.1962890625,403.15283203125,403.235412597656
"CP138",411.270080566406,411.193969726562,412.198577880859
"CP139",413.2880859375,413.238464355469,414.160064697266
"CP140",415.266296386719,415.248138427734,415.279937744141
"CP141",416.272186279297,416.253936767578,416.285858154297
"CP142",417.208709716797,417.062347412109,417.270477294922
"CP143",425.214477539062,425.153289794922,425.27099609375
"CP144",427.265167236328,427.198791503906,427.326812744141
"CP145",429.091552734375,429.072448730469,429.105865478516
"CP146",429.244567871094,429.201599121094,429.287567138672
"CP147",430.090881347656,430.071716308594,430.105224609375
"CP148",430.2490234375,430.234649658203,430.258605957031
"CP149",431.089660644531,431.070434570312,431.104095458984
"CP150",431.261810302734,431.207305908203,431.314697265625
"CP151",432.263702392578,432.249206542969,432.273345947266
"CP152",433.205780029297,433.186401367188,433.220275878906
"CP153",437.237915039062,437.223205566406,437.252655029297
"CP154",439.232330322266,439.173034667969,439.286712646484
"CP155",441.210968017578,441.15625,441.2607421875
"CP156",443.228088378906,443.162963867188,443.288208007812
"CP157",445.122436523438,445.102264404297,445.137542724609
"CP158",445.279205322266,445.233795166016,445.324615478516
"CP159",453.254516601562,453.176818847656,453.332244873047
"CP160",455.297485351562,455.219268798828,455.370513916016
"CP161",457.275543212891,457.259765625,457.291290283203
"CP162",458.279937744141,458.264129638672,458.295715332031
"CP163",459.218933105469,459.17138671875,459.266479492188
"CP164",461.238555908203,461.201354980469,461.275787353516
"CP165",467.258972167969,467.199310302734,467.318603515625
"CP166",469.27734375,469.206390380859,469.342834472656
"CP167",471.292358398438,471.23193359375,471.352783203125
"CP168",473.309295654297,473.237426757812,473.375640869141
"CP169",475.216857910156,475.17236328125,475.255798339844
"CP170",477.230438232422,477.208038330078,477.247222900391
"CP171",483.259979248047,483.191528320312,483.322723388672
"CP172",485.273956298828,485.216583251953,485.331359863281
"CP173",486.314483642578,484.219635009766,488.330230712891
"CP174",487.289031982422,487.216461181641,487.358337402344
"CP175",489.22998046875,489.212554931641,489.247406005859
"CP176",493.228454589844,493.204925537109,493.24609375
"CP177",497.245361328125,497.179870605469,497.310852050781
"CP178",499.251647949219,499.191772460938,499.305572509766
"CP179",501.270141601562,501.209869384766,501.324371337891
"CP180",503.106658935547,503.082427978516,503.124816894531
"CP181",503.118774414062,500.319458007812,505.11279296875
"CP182",504.107849121094,504.083526611328,504.126068115234
"CP183",505.228698730469,505.204284667969,505.246978759766
"CP184",513.228454589844,512.338500976562,513.298706054688
"CP185",515.246520996094,515.170654296875,515.318603515625
"CP186",517.261291503906,517.242309570312,517.280212402344
"CP187",545.366149902344,545.338806152344,545.386657714844
"CP188",547.381591796875,547.354125976562,547.402221679688
"CP189",548.387023925781,548.359436035156,548.407653808594
"CP190",551.266723632812,551.238952636719,551.28759765625
"CP191",559.3466796875,559.302124023438,559.387329101562
"CP192",561.360656738281,561.332092285156,561.382080078125
"CP193",563.37939453125,563.350646972656,563.400939941406
"CP194",585.403869628906,585.381103515625,585.426696777344
"CP195",587.378234863281,587.340026855469,587.411865234375
"CP196",589.396484375,589.365783691406,589.419555664062
"CP197",590.396728515625,590.365905761719,590.419799804688
"CP198",601.400939941406,601.336853027344,601.4326171875
"CP199",603.368774414062,603.336975097656,603.392639160156
"CP200",604.370971679688,604.339050292969,604.394897460938
"CP201",605.380676269531,605.340698242188,605.412658691406
"CP202",627.410217285156,627.37646484375,627.435546875
"CP203",629.380493164062,629.363525390625,629.397399902344
"CP204",631.402465820312,631.368408203125,631.428039550781
"CP205",643.39892578125,643.372619628906,643.425170898438
"CP206",663.45458984375,663.417907714844,663.482116699219
"CP207",664.456298828125,664.419494628906,664.48388671875
"CP208",685.438842773438,685.400268554688,685.467712402344
