"...1","mz","mzmin","mzmax","MD"
"CP160",455.297485351562,455.219268798828,455.370513916016,0.297485351561988
"CP161",457.275543212891,457.259765625,457.291290283203,0.275543212891023
"CP162",458.279937744141,458.264129638672,458.295715332031,0.279937744141023
"CP163",459.218933105469,459.17138671875,459.266479492188,0.218933105468977
"CP164",461.238555908203,461.201354980469,461.275787353516,0.238555908203011
"CP165",467.258972167969,467.199310302734,467.318603515625,0.258972167968977
"CP166",469.27734375,469.206390380859,469.342834472656,0.27734375
"CP167",471.292358398438,471.23193359375,471.352783203125,0.292358398438012
"CP168",473.309295654297,473.237426757812,473.375640869141,0.309295654296989
"CP169",475.216857910156,475.17236328125,475.255798339844,0.216857910156023
"CP170",477.230438232422,477.208038330078,477.247222900391,0.230438232421989
"CP171",483.259979248047,483.191528320312,483.322723388672,0.259979248046989
"CP172",485.273956298828,485.216583251953,485.331359863281,0.273956298828011
"CP173",486.314483642578,484.219635009766,488.330230712891,0.314483642578011
"CP174",487.289031982422,487.216461181641,487.358337402344,0.289031982421989
"CP175",489.22998046875,489.212554931641,489.247406005859,0.22998046875
"CP176",493.228454589844,493.204925537109,493.24609375,0.228454589843977
"CP177",497.245361328125,497.179870605469,497.310852050781,0.245361328125
"CP178",499.251647949219,499.191772460938,499.305572509766,0.251647949218977
"CP179",501.270141601562,501.209869384766,501.324371337891,0.270141601561988
"CP180",503.106658935547,503.082427978516,503.124816894531,0.106658935546989
"CP181",503.118774414062,500.319458007812,505.11279296875,0.118774414061988
"CP182",504.107849121094,504.083526611328,504.126068115234,0.107849121093977
"CP183",505.228698730469,505.204284667969,505.246978759766,0.228698730468977
"CP184",513.228454589844,512.338500976562,513.298706054688,0.228454589843977
"CP185",515.246520996094,515.170654296875,515.318603515625,0.246520996093977
"CP186",517.261291503906,517.242309570312,517.280212402344,0.261291503906023
"CP187",545.366149902344,545.338806152344,545.386657714844,0.366149902343977
"CP188",547.381591796875,547.354125976562,547.402221679688,0.381591796875
"CP189",548.387023925781,548.359436035156,548.407653808594,0.387023925781023
"CP190",551.266723632812,551.238952636719,551.28759765625,0.266723632812045
"CP191",559.3466796875,559.302124023438,559.387329101562,0.3466796875
"CP192",561.360656738281,561.332092285156,561.382080078125,0.360656738281023
"CP193",563.37939453125,563.350646972656,563.400939941406,0.37939453125
"CP194",585.403869628906,585.381103515625,585.426696777344,0.403869628906023
"CP195",587.378234863281,587.340026855469,587.411865234375,0.378234863281023
"CP196",589.396484375,589.365783691406,589.419555664062,0.396484375
"CP197",590.396728515625,590.365905761719,590.419799804688,0.396728515625
"CP198",601.400939941406,601.336853027344,601.4326171875,0.400939941406023
"CP199",603.368774414062,603.336975097656,603.392639160156,0.368774414062045
"CP200",604.370971679688,604.339050292969,604.394897460938,0.370971679687955
"CP201",605.380676269531,605.340698242188,605.412658691406,0.380676269531023
"CP202",627.410217285156,627.37646484375,627.435546875,0.410217285156023
"CP203",629.380493164062,629.363525390625,629.397399902344,0.380493164062045
"CP204",631.402465820312,631.368408203125,631.428039550781,0.402465820312045
"CP205",643.39892578125,643.372619628906,643.425170898438,0.39892578125
"CP206",663.45458984375,663.417907714844,663.482116699219,0.45458984375
"CP207",664.456298828125,664.419494628906,664.48388671875,0.456298828125
"CP208",685.438842773438,685.400268554688,685.467712402344,0.438842773437955
